tipo	idade	sexo	civil	valor	expos	nsinist
suv	65	M	Casado	65.815	0.79	0
wagon	34	F	Casado	24.651	0.81	0
suv	57	F	Casado	49.435	0.26	0
hatch	50	F	Casado	27.92	0.78	0
sedan	56	F	Casado	18.582	0.82	0
picape	71	M	Casado	23.22	0.82	0
hatch	60	M	Casado	36.103	0.77	3
hatch	28	F	Solteiro	26.364	0.82	0
wagon	82	M	Casado	36.319	0.63	0
hatch	54	F	Divorciado	23.339	0.39	0
picape	49	M	Casado	69.055	0.08	0
suv	68	F	Viuvo	56.907	0.79	0
sedan	41	F	Casado	23.591	0.8	0
mono	45	M	Casado	47.985	0.82	0
hatch	58	M	Casado	24.886	0.65	0
picape	32	M	Casado	19.505	0.77	0
mono	45	F	Casado	25.81	0.77	0
wagon	42	M	Divorciado	25.112	0.01	0
hatch	51	F	Casado	42.704	0.76	0
sedan	43	M	Casado	41.617	0.8	0
hatch	55	F	Divorciado	17.186	0.81	0
sedan	57	F	Casado	46.74	0.7	0
picape	74	M	Casado	36.929	0.8	0
hatch	34	M	Casado	17.922	0.78	0
hatch	64	F	Divorciado	34.142	0.81	0
picape	46	F	Casado	66.556	0.52	0
hatch	35	M	Casado	41.982	0.04	0
suv	57	F	Casado	43.019	0.8	0
wagon	40	M	Casado	25.685	0.78	0
sedan	40	F	Casado	25.046	0.03	0
sedan	66	M	Casado	60.278	0.81	0
mono	29	F	Solteiro	63.342	0.1	0
mono	53	M	Casado	46.171	0.2	0
sedan	50	M	Casado	37.241	0.77	0
hatch	35	F	Casado	37.102	0.77	0
suv	55	F	Casado	52.478	0.81	0
picape	58	M	Casado	44.522	0.76	0
wagon	73	M	Casado	10.914	0.44	0
sedan	69	M	Solteiro	11.051	0.76	0
mono	62	M	Casado	57.109	0.77	0
sedan	51	M	Casado	27.454	0.82	0
sedan	69	F	Casado	28.196	0.01	0
hatch	68	M	Casado	38.476	0.79	0
hatch	66	M	Casado	21.078	0.69	0
hatch	40	F	Solteiro	22.067	0.8	0
suv	37	M	Casado	60.219	0.8	0
picape	48	M	Divorciado	27.886	0.01	0
sedan	67	M	Casado	62.97	0.77	0
sedan	32	M	Casado	45.171	0.38	2
hatch	44	F	Casado	36.103	0.49	0
wagon	66	F	Viuvo	27.555	0.76	0
suv	65	M	Casado	51.819	0.58	0
sedan	59	M	Casado	22.059	0.04	0
picape	63	M	Casado	15.201	0.82	0
sedan	48	F	Casado	30.002	0.76	0
wagon	61	F	Casado	33.784	0.8	0
sedan	64	M	Divorciado	23.815	0.78	0
hatch	40	F	Solteiro	36.089	0.05	0
sedan	49	M	Casado	21.256	0.76	0
sedan	70	F	Solteiro	12.652	0.79	0
hatch	65	M	Casado	23.978	0.81	0
sedan	82	M	Viuvo	42.086	0.81	0
hatch	59	M	Casado	19.091	0.78	0
mono	46	F	Casado	24.569	0.01	0
hatch	32	M	Casado	17.186	0.48	0
picape	23	F	Solteiro	34.477	0.79	0
sedan	51	M	Casado	43.799	0.8	0
mono	54	M	Casado	27.598	0.46	0
sedan	38	F	Casado	18.176	0.82	0
sedan	45	M	Casado	48.299	0.82	2
hatch	63	F	Solteiro	35.333	0.71	1
hatch	83	M	Casado	37.414	0.78	0
picape	63	M	Casado	54.46	0.35	0
hatch	71	M	Casado	23.898	0.77	0
hatch	61	F	Casado	7.773	0.77	0
hatch	57	F	Viuvo	15.513	0.77	0
suv	43	F	Casado	46.71	0.39	0
sedan	74	M	Casado	48.194	0.81	0
suv	70	M	Casado	32.478	0.8	0
sedan	53	M	Casado	42.086	0.83	0
picape	48	M	Casado	22.994	0.04	0
suv	55	F	Solteiro	30.009	0.78	0
mono	61	F	Divorciado	51.398	0.82	0
hatch	65	M	Casado	11.18	0.55	2
mono	57	F	Divorciado	26.101	0.8	0
mono	34	F	Casado	46.823	0.78	0
suv	49	M	Casado	83.366	0.8	0
sedan	68	M	Casado	64.898	0.78	0
suv	32	F	Casado	49.784	0.76	0
picape	67	M	Casado	41.671	0.81	0
sedan	82	M	Divorciado	20.408	0.77	1
sedan	35	M	Casado	53.38	0.81	1
wagon	60	M	Casado	24.141	0.76	0
suv	53	M	Casado	51.384	0.77	0
picape	69	M	Casado	67.029	0.81	0
hatch	50	M	Casado	11.749	0.76	0
sedan	51	M	Casado	21.699	0.48	0
hatch	45	F	Casado	41.289	0.76	0
hatch	36	M	Casado	18.719	0.78	0
wagon	80	F	Casado	29.732	0.44	0
suv	35	F	Casado	82.706	0.83	0
sedan	53	F	Casado	21.854	0.8	0
suv	63	M	Casado	30.08	0.01	0
sedan	62	M	Solteiro	36.478	0.66	0
hatch	29	F	Casado	16.072	0.76	0
sedan	52	M	Casado	18.615	0.82	0
sedan	48	F	Casado	19.608	0.77	0
wagon	45	F	Solteiro	14.541	0.77	0
suv	66	M	Casado	86.8	0.78	0
hatch	51	F	Solteiro	11.774	0.82	0
